"sede","fecha","cantidad_visitantes","cantidad_combos","gasto_total","propina","tiempo_espera","satisfaccion_cliente","numero_de_mesas_disponibles"
"Sede_Vergara",2022-01-02,39,5,10000,111,9.9,89.3,22
"Biblioteca",2022-01-04,28,2,4000,116,4.9,95.7,11
"Sede_Vergara",2022-01-04,31,5,10000,140,11.2,101.7,30
"Malvinas_Argentinas",2022-01-05,12,2,4000,229,3.6,92,20
"Biblioteca",2022-01-05,36,4,8000,259,6.4,99.6,18
"Laboratorios",2022-01-05,9,5,10000,264,7.8,100.4,20
"Sede_Vergara",2022-01-05,35,3,6000,229,5.2,102.4,23
"Escuela_Universitaria_de_Ingles",2022-01-05,17,3,6000,247,4.9,88.8,15
"Malvinas_Argentinas",2022-01-06,28,5,10000,119,11.1,82.5,20
"Biblioteca",2022-01-06,12,3,6000,113,7,87.9,22
"Laboratorios",2022-01-06,15,4,8000,153,8.5,93,25
"Sede_Vergara",2022-01-06,33,3,6000,279,4.9,92.3,28
"Escuela_Universitaria_de_Ingles",2022-01-06,7,5,10000,277,10.9,89.3,20
"Malvinas_Argentinas",2022-01-07,6,2,4000,110,4.6,96.4,28
"Biblioteca",2022-01-07,20,4,8000,119,7.5,95.9,20
"Laboratorios",2022-01-07,9,4,8000,105,7.4,102.1,16
"Sede_Vergara",2022-01-07,41,2,4000,286,4.7,97.6,19
"Escuela_Universitaria_de_Ingles",2022-01-07,16,2,4000,173,3.2,100.2,19
"Malvinas_Argentinas",2022-01-08,8,5,10000,167,8,93.8,19
"Biblioteca",2022-01-08,42,2,4000,161,4.1,94.7,17
"Laboratorios",2022-01-08,28,3,6000,218,5.8,91.7,17
"Sede_Vergara",2022-01-08,55,4,8000,270,7.6,81.9,13
"Escuela_Universitaria_de_Ingles",2022-01-08,41,5,10000,244,12.3,81,21
"Malvinas_Argentinas",2022-01-09,13,3,6000,115,5.2,93.9,11
"Biblioteca",2022-01-09,16,2,4000,271,3.6,97.3,17
"Laboratorios",2022-01-09,7,3,6000,167,7.4,96.2,14
"Sede_Vergara",2022-01-09,49,3,6000,134,6.3,97.3,22
"Escuela_Universitaria_de_Ingles",2022-01-09,56,2,4000,107,4.7,99.2,24
"Malvinas_Argentinas",2022-01-10,14,3,6000,125,5.3,96.5,15
"Sede_Vergara",2022-01-10,50,5,10000,244,11.6,84.9,19
"Escuela_Universitaria_de_Ingles",2022-01-10,45,2,4000,228,3.8,97.1,30
"Malvinas_Argentinas",2022-01-11,2,5,10000,282,8,93.4,29
"Sede_Vergara",2022-01-11,19,3,6000,114,4.8,94.8,14
"Escuela_Universitaria_de_Ingles",2022-01-11,31,5,10000,150,11.5,89.2,29
"Biblioteca",2022-01-12,10,3,6000,205,4.7,93.6,15
"Laboratorios",2022-01-12,4,4,8000,205,8.7,97.5,23
"Sede_Vergara",2022-01-12,17,4,8000,192,8.1,99,20
"Escuela_Universitaria_de_Ingles",2022-01-12,34,4,8000,198,7.8,97.4,30
"Trabajo_Argentino",2022-01-13,25,5,10000,584,8.9,90.4,24
"Malvinas_Argentinas",2022-01-13,21,3,6000,280,4.9,102.3,23
"Biblioteca",2022-01-13,40,3,6000,183,6.8,89.5,14
"Laboratorios",2022-01-13,5,5,10000,149,11.1,97.5,23
"Sede_Vergara",2022-01-13,53,2,4000,252,4.2,99.2,24
"Escuela_Universitaria_de_Ingles",2022-01-13,1,4,8000,105,6.8,87.7,26
"Trabajo_Argentino",2022-01-14,32,5,10000,493,11.4,79.4,28
"Malvinas_Argentinas",2022-01-14,8,4,8000,234,10,95.1,23
"Biblioteca",2022-01-14,36,4,8000,228,6.8,94,18
"Laboratorios",2022-01-14,21,2,4000,187,3.3,99.7,29
"Sede_Vergara",2022-01-14,44,5,10000,230,10.2,92.4,13
"Escuela_Universitaria_de_Ingles",2022-01-14,16,5,10000,114,9.2,98.4,12
"Trabajo_Argentino",2022-01-15,29,5,10000,366,9.5,94.1,23
"Malvinas_Argentinas",2022-01-15,21,5,10000,251,12.4,92.3,15
"Biblioteca",2022-01-15,53,5,10000,295,10.8,84.4,18
"Laboratorios",2022-01-15,20,2,4000,269,3.4,98.6,16
"Sede_Vergara",2022-01-15,55,3,6000,222,5.7,97.9,16
"Escuela_Universitaria_de_Ingles",2022-01-15,24,5,10000,204,10.4,83.8,28
"Trabajo_Argentino",2022-01-16,22,4,8000,435,9.5,96.7,12
"Malvinas_Argentinas",2022-01-16,17,2,4000,107,3.3,93.6,27
"Biblioteca",2022-01-16,32,5,10000,140,9.7,86.8,14
"Laboratorios",2022-01-16,22,4,8000,247,9.5,83.4,18
"Sede_Vergara",2022-01-16,45,5,10000,215,8.8,89.7,17
"Escuela_Universitaria_de_Ingles",2022-01-16,60,2,4000,227,3.1,96.7,29
"Malvinas_Argentinas",2022-01-17,1,4,8000,114,9.6,82.5,11
"Sede_Vergara",2022-01-17,33,5,10000,148,9.2,78.2,20
"Escuela_Universitaria_de_Ingles",2022-01-17,41,3,6000,209,5.7,90.8,14
"Trabajo_Argentino",2022-01-18,6,5,10000,524,12.2,79.6,19
"Biblioteca",2022-01-18,12,4,8000,113,6.8,93.9,25
"Laboratorios",2022-01-18,6,2,4000,137,4.7,96.9,29
"Sede_Vergara",2022-01-18,24,4,8000,185,6.8,98,27
"Escuela_Universitaria_de_Ingles",2022-01-18,17,4,8000,108,9.9,94,15
"Trabajo_Argentino",2022-01-19,9,4,8000,516,6.2,102.8,27
"Malvinas_Argentinas",2022-01-19,15,3,6000,220,6.2,93.1,17
"Biblioteca",2022-01-19,22,4,8000,279,10,90.8,19
"Laboratorios",2022-01-19,15,4,8000,114,8.9,101.1,30
"Sede_Vergara",2022-01-19,22,5,10000,268,11.2,87.8,11
"Escuela_Universitaria_de_Ingles",2022-01-19,30,3,6000,251,6.9,94.1,26
"Trabajo_Argentino",2022-01-20,31,4,8000,578,8.1,99.6,20
"Malvinas_Argentinas",2022-01-20,11,3,6000,152,5.7,88.4,20
"Biblioteca",2022-01-20,44,2,4000,226,3.9,88.8,10
"Laboratorios",2022-01-20,13,2,4000,133,3.6,94.3,21
"Sede_Vergara",2022-01-20,32,5,10000,201,10.2,92.6,24
"Escuela_Universitaria_de_Ingles",2022-01-20,1,4,8000,278,6.1,104.1,17
"Trabajo_Argentino",2022-01-21,21,4,8000,318,9.6,88.7,14
"Malvinas_Argentinas",2022-01-21,25,4,8000,217,7.8,97.6,30
"Biblioteca",2022-01-21,32,2,4000,261,3.1,90.3,19
"Laboratorios",2022-01-21,9,3,6000,196,5.1,87.3,20
"Sede_Vergara",2022-01-21,48,3,6000,226,6.5,91.5,11
"Escuela_Universitaria_de_Ingles",2022-01-21,20,5,10000,244,8.8,98.4,19
"Trabajo_Argentino",2022-01-22,18,5,10000,436,10.3,91.9,29
"Malvinas_Argentinas",2022-01-22,45,3,6000,216,6.6,90.6,16
"Biblioteca",2022-01-22,57,2,4000,266,4.9,87.8,11
"Laboratorios",2022-01-22,10,5,10000,261,10,94.7,26
"Sede_Vergara",2022-01-22,56,4,8000,172,7.7,89.8,16
"Escuela_Universitaria_de_Ingles",2022-01-22,23,3,6000,207,5.4,88.3,27
"Trabajo_Argentino",2022-01-23,26,3,6000,330,5.9,89.6,23
"Malvinas_Argentinas",2022-01-23,16,3,6000,209,4.7,94.3,28
"Biblioteca",2022-01-23,8,2,4000,140,4.7,101.2,12
"Laboratorios",2022-01-23,26,3,6000,288,6.1,92.1,11
"Sede_Vergara",2022-01-23,46,5,10000,232,11.3,91.9,20
"Escuela_Universitaria_de_Ingles",2022-01-23,41,2,4000,244,3.3,101,26
"Malvinas_Argentinas",2022-01-24,4,2,4000,254,3.7,106.2,17
"Sede_Vergara",2022-01-24,18,5,10000,288,12.3,93.9,16
"Escuela_Universitaria_de_Ingles",2022-01-24,46,4,8000,199,7.1,94.6,15
"Trabajo_Argentino",2022-01-25,21,6,12000,458,14.7,82.8,14
"Biblioteca",2022-01-25,28,2,4000,170,4.2,88.5,22
"Laboratorios",2022-01-25,10,4,8000,264,6.9,83.2,17
"Sede_Vergara",2022-01-25,12,5,10000,206,9.3,86.1,29
"Escuela_Universitaria_de_Ingles",2022-01-25,18,3,6000,215,7.4,99.7,18
"Trabajo_Argentino",2022-01-26,11,4,8000,320,7.8,93.7,28
"Malvinas_Argentinas",2022-01-26,3,2,4000,149,4.4,96,19
"Biblioteca",2022-01-26,39,3,6000,208,5.4,98,16
"Laboratorios",2022-01-26,15,2,4000,113,4.5,91.6,14
"Sede_Vergara",2022-01-26,51,4,8000,238,6.2,97.8,20
"Escuela_Universitaria_de_Ingles",2022-01-26,21,4,8000,274,6,88.6,16
"Trabajo_Argentino",2022-01-27,24,4,8000,570,8.7,96,18
"Malvinas_Argentinas",2022-01-27,10,2,4000,266,3.6,90.9,14
"Biblioteca",2022-01-27,21,4,8000,272,9.2,91.9,22
"Laboratorios",2022-01-27,13,5,10000,126,7.6,80,30
"Sede_Vergara",2022-01-27,24,5,10000,261,10.9,93.3,10
"Escuela_Universitaria_de_Ingles",2022-01-27,9,2,4000,127,4.3,95.7,30
"Trabajo_Argentino",2022-01-28,21,3,6000,499,6.2,90.4,12
"Malvinas_Argentinas",2022-01-28,11,3,6000,285,7,98,26
"Biblioteca",2022-01-28,62,3,6000,194,7.4,100.5,24
"Laboratorios",2022-01-28,9,3,6000,264,6.6,90.9,29
"Sede_Vergara",2022-01-28,16,4,8000,281,8.1,101,12
"Escuela_Universitaria_de_Ingles",2022-01-28,12,5,10000,282,7.9,85.6,26
